species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,family
Sorghum interjectum Lazarides,Sorghum interjectum,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Sorghum matarankense E.D.Garber & L.A.Snyder,Sorghum matarankense,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Sorghum propinquum (Kunth) Hitchc.,Sorghum propinquum,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Sporobolus blakei De Nardi ex B.K.Simon,Sporobolus blakei,native,native,native,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Sporobolus contiguus S.T.Blake,Sporobolus contiguus,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Sporobolus disjunctus R.Mills ex B.K.Simon,Sporobolus disjunctus,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Sporobolus latzii B.K.Simon,Sporobolus latzii,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Sporobolus lenticularis S.T.Blake,Sporobolus lenticularis,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Sporobolus pulchellus R.Br.,Sporobolus pulchellus,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Sporobolus sessilis B.K.Simon,Sporobolus sessilis,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Stenotaphrum micranthum (Desv.) C.E.Hubb.,Stenotaphrum micranthum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,native,not present,not present,Poaceae
Thaumastochloa brassii C.E.Hubb.,Thaumastochloa brassii,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Thaumastochloa rubra Sosef & de Koning,Thaumastochloa rubra,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Thaumastochloa striata Sosef & de Koning,Thaumastochloa striata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Thedachloa annua S.W.L.Jacobs,Thedachloa annua,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Thelepogon australiensis B.K.Simon,Thelepogon australiensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia aeria Lazarides,Triodia aeria,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia aristiglumis (Lazarides) Lazarides,Triodia aristiglumis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia aurita Lazarides,Triodia aurita,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia barbata R.L.Barrett & M.D.Barrett,Triodia barbata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia bunglensis (S.W.L.Jacobs) Lazarides,Triodia bunglensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia claytonii Lazarides,Triodia claytonii,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia cremnophila R.L.Barrett & M.D.Barrett,Triodia cremnophila,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia cunninghamii Benth.,Triodia cunninghamii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia desertorum (C.E.Hubb.) Lazarides,Triodia desertorum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia dielsii (C.E.Hubb.) Lazarides,Triodia dielsii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
"Triodia fissura R.L.Barrett, G.B.Wells & K.W.Dixon",Triodia fissura,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia fitzgeraldii N.T.Burb.,Triodia fitzgeraldii,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia gracilis (Lazarides) Crisp & Mant,Triodia gracilis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia helmsii (C.E.Hubb.) Lazarides,Triodia helmsii,native,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia inaequiloba N.T.Burb.,Triodia inaequiloba,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia integra Lazarides,Triodia integra,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia latzii Lazarides,Triodia latzii,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia molesta N.T.Burb.,Triodia molesta,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia nana B.M.Anderson,Triodia nana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia pascoeana B.K.Simon,Triodia pascoeana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia radonensis S.W.L.Jacobs,Triodia radonensis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia roscida N.T.Burb.,Triodia roscida,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia salina Lazarides,Triodia salina,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia tomentosa S.W.L.Jacobs,Triodia tomentosa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Triodia uniaristata (Lazarides) Lazarides,Triodia uniaristata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Urochloa argentea (R.Br.) R.D.Webster,Urochloa argentea,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Urochloa atrisola R.D.Webster,Urochloa atrisola,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Urochloa distachya (L.) T.Q.Nguyen,Urochloa distachya,naturalised,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Urochloa kurzii (Hook.f.) R.D.Webster,Urochloa kurzii,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Urochloa occidentalis (C.A.Gardner & C.E.Hubb.) B.K.Simon,Urochloa occidentalis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Urochloa polyphylla (R.Br.) R.D.Webster,Urochloa polyphylla,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Urochloa whiteana (Domin) R.D.Webster,Urochloa whiteana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Whiteochloa biciliata Lazarides,Whiteochloa biciliata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Whiteochloa capillipes (Benth.) Lazarides,Whiteochloa capillipes,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Whiteochloa cymbiformis (Hughes) B.K.Simon,Whiteochloa cymbiformis,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Whiteochloa multiciliata Lazarides,Whiteochloa multiciliata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Whiteochloa semitonsa (F.Muell. ex Benth.) C.E.Hubb.,Whiteochloa semitonsa,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Yakirra majuscula (F.Muell. ex Benth.) Lazarides & R.D.Webster,Yakirra majuscula,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Yakirra muelleri (Hughes) Lazarides & R.D.Webster,Yakirra muelleri,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Yakirra nulla Lazarides & R.D.Webster,Yakirra nulla,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Yakirra pauciflora (R.Br.) Lazarides & R.D.Webster,Yakirra pauciflora,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Yakirra websteri B.K.Simon,Yakirra websteri,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae
Baloskion longipes (L.A.S.Johnson & O.D.Evans) B.G.Briggs & L.A.S.Johnson,Baloskion longipes,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Calorophus erostris (C.B.Clarke) L.A.S.Johnson & B.G.Briggs,Calorophus erostris,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Chaetanthus leptocarpoides R.Br.,Chaetanthus leptocarpoides,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Chordifex capillaceus B.G.Briggs & L.A.S.Johnson,Chordifex capillaceus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Chordifex gracilior (F.Muell. ex Benth.) B.G.Briggs & L.A.S.Johnson,Chordifex gracilior,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Chordifex jacksonii B.G.Briggs & L.A.S.Johnson,Chordifex jacksonii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Chordifex leucoblepharus (Gilg) B.G.Briggs & L.A.S.Johnson,Chordifex leucoblepharus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Chordifex ornatus (Steud.) B.G.Briggs & L.A.S.Johnson,Chordifex ornatus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Chordifex reseminans B.G.Briggs & L.A.S.Johnson,Chordifex reseminans,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Dapsilanthus elatior (R.Br.) B.G.Briggs & L.A.S.Johnson,Dapsilanthus elatior,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus biformis B.G.Briggs & L.A.S.Johnson,Desmocladus biformis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus castaneus B.G.Briggs & L.A.S.Johnson,Desmocladus castaneus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus confertospicatus (Steud.) B.G.Briggs,Desmocladus confertospicatus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus diacolpicus B.G.Briggs & L.A.S.Johnson,Desmocladus diacolpicus,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus eludens (B.G.Briggs & L.A.S.Johnson) B.G.Briggs,Desmocladus eludens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus eyreanus (B.G.Briggs & L.A.S.Johnson) B.G.Briggs,Desmocladus eyreanus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus ferruginipes (Meney & Pate) B.G.Briggs,Desmocladus ferruginipes,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus glomeratus K.W.Dixon & Meney,Desmocladus glomeratus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus lateriticus B.G.Briggs & L.A.S.Johnson,Desmocladus lateriticus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus nodatus (B.G.Briggs & L.A.S.Johnson) B.G.Briggs,Desmocladus nodatus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus quiricanus B.G.Briggs & L.A.S.Johnson,Desmocladus quiricanus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus semiplanus B.G.Briggs & L.A.S.Johnson,Desmocladus semiplanus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Desmocladus virgatus (Benth.) B.G.Briggs & L.A.S.Johnson,Desmocladus virgatus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Hopkinsia adscendens B.G.Briggs & L.A.S.Johnson,Hopkinsia adscendens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Hypolaena caespitosa B.G.Briggs & L.A.S.Johnson,Hypolaena caespitosa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Hypolaena grandiuscula F.Muell.,Hypolaena grandiuscula,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Hypolaena viridis L.A.S.Johnson & B.G.Briggs,Hypolaena viridis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepidobolus basiflorus Pate & Meney,Lepidobolus basiflorus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepidobolus eurardyensis K.W.Dixon & B.G.Briggs,Lepidobolus eurardyensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepidobolus spiralis Meney & K.W.Dixon,Lepidobolus spiralis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Leptocarpus crassipes Pate & Meney,Leptocarpus crassipes,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Leptocarpus decipiens B.G.Briggs,Leptocarpus decipiens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Leptocarpus scoparius B.G.Briggs,Leptocarpus scoparius,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Leptocarpus tephrinus B.G.Briggs,Leptocarpus tephrinus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Leptocarpus thysananthus B.G.Briggs,Leptocarpus thysananthus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia anarthria F.Muell. ex Benth.,Lepyrodia anarthria,not present,native,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia curvescens B.G.Briggs & L.A.S.Johnson,Lepyrodia curvescens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia drummondiana Steud.,Lepyrodia drummondiana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia extensa B.G.Briggs & L.A.S.Johnson,Lepyrodia extensa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia fortunata B.G.Briggs & L.A.S.Johnson,Lepyrodia fortunata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia heleocharoides Gilg,Lepyrodia heleocharoides,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia leptocaulis L.A.S.Johnson & O.D.Evans,Lepyrodia leptocaulis,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia macra Nees,Lepyrodia macra,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia monoica F.Muell.,Lepyrodia monoica,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia muirii F.Muell.,Lepyrodia muirii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia oligocolea B.G.Briggs & L.A.S.Johnson,Lepyrodia oligocolea,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia porterae B.G.Briggs & L.A.S.Johnson,Lepyrodia porterae,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia riparia B.G.Briggs & L.A.S.Johnson,Lepyrodia riparia,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia valliculae J.M.Black,Lepyrodia valliculae,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Lepyrodia verruculosa B.G.Briggs & L.A.S.Johnson,Lepyrodia verruculosa,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Loxocarya albipes Pate & Meney,Loxocarya albipes,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Loxocarya striata (F.Muell.) B.G.Briggs & L.A.S.Johnson,Loxocarya striata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Melanostachya ustulata (F.Muell. ex Ewart & Sharman) B.G.Briggs & L.A.S.Johnson,Melanostachya ustulata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Platychorda applanata (Spreng.) B.G.Briggs & L.A.S.Johnson,Platychorda applanata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Platychorda rivalis B.G.Briggs & L.A.S.Johnson,Platychorda rivalis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Sporadanthus caudatus (L.A.S.Johnson & O.D.Evans) B.G.Briggs & L.A.S.Johnson,Sporadanthus caudatus,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Sporadanthus gracilis (R.Br.) B.G.Briggs & L.A.S.Johnson,Sporadanthus gracilis,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Sporadanthus strictus (R.Br.) B.G.Briggs & L.A.S.Johnson,Sporadanthus strictus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Tyrbastes glaucescens B.G.Briggs & L.A.S.Johnson,Tyrbastes glaucescens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae
Xyris atroviridis Doust & B.J.Conn,Xyris atroviridis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Xyridaceae
Xyris gracillima F.Muell.,Xyris gracillima,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Xyridaceae
Xyris inaequalis N.A.Wakef.,Xyris inaequalis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Xyridaceae
Xyris laxiflora F.Muell.,Xyris laxiflora,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Xyridaceae
Xyris maxima Doust & B.J.Conn,Xyris maxima,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Xyridaceae
Xyris pusilla Sol. ex R.Br.,Xyris pusilla,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Xyridaceae
Uvaria glabra Span.,Uvaria glabra,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Annonaceae
"Uvaria rupestre (Jessup) L.L.Zhou, Y.C.F.Zu & R.M.K.Saunders",Uvaria rupestre,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Annonaceae
Myristica lancifolia Poir.,Myristica lancifolia,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Myristicaceae
Peperomia laevifolia (Blume) Miq.,Peperomia laevifolia,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Piperaceae
Peperomia rossii Rendle,Peperomia rossii,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Piperaceae
Hibbertia acaulothrix Toelken,Hibbertia acaulothrix,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia acrotrichion J.R.Wheeler,Hibbertia acrotrichion,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia ancistrophylla J.R.Wheeler,Hibbertia ancistrophylla,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia ancistrotricha J.R.Wheeler,Hibbertia ancistrotricha,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia auriculiflora Toelken,Hibbertia auriculiflora,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia axillaris Toelken,Hibbertia axillaris,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia axillibarba J.R.Wheeler,Hibbertia axillibarba,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia bicarpellata Toelken,Hibbertia bicarpellata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia cactifolia Toelken,Hibbertia cactifolia,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia carinata J.R.Wheeler,Hibbertia carinata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia charlesii J.R.Wheeler,Hibbertia charlesii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia chartacea J.R.Wheeler,Hibbertia chartacea,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia circularis Toelken,Hibbertia circularis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia concinna F.M.Bailey,Hibbertia concinna,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia cymosa S.T.Reynolds,Hibbertia cymosa,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia demissa Toelken,Hibbertia demissa,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia drummondii (Turcz.) Gilg,Hibbertia drummondii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
Hibbertia echiifolia R.Br. ex Benth.,Hibbertia echiifolia,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dilleniaceae
